plotid,tag_no,target,reason,response
CC-DB1,0004_123,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_125,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_128,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_134,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_135,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_143,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_146,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_165,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_168,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_169,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_176,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_184,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_185,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_186,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_187,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_188,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_194,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_195,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_197,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_203,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_001,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_006,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_007,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_008,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_030,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_035,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_036,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_047,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_052,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_053,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_054,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_059,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_064,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_085,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_089,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_090,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_099,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_100,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_103,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_104,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_105,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_106,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_123,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_126,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0005_130,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_107,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_113,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_116,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_129,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_133,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_134,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_145,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_160,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_197,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_199,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0006_200,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_002,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_006,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_016,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_026,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_032,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_050,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_057,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0103_061,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_002,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_007,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_008,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_013,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_019,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_026,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_028,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_033,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_037,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_040,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_045,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_051,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_052,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_054,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_061,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_064,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_065,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0104_088,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_009,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_017,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_018,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_020,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_022,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_027,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_030,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_036,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_037,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_044,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_048,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_051,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_054,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_056,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_062,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_063,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_064,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_066,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_068,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_076,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_083,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_089,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_091,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_103,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0105_109,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_009,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_019,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_026,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_036,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_038,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_039,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_042,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_043,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_052,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_053,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_057,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_069,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_084,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_095,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_104,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_106,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_109,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_114,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0106_116,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,2009_9805_065,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,2009_9905_98,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_004,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_010,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_011,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_024,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_025,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_032,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_033,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_034,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_036,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9803_039,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_058,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_062,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_064,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_065,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_066,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_072,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_074,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_075,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_076,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_079,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_080,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_085,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_087,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_089,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_090,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_091,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_092,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_102,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9804_104,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_001,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_006,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_008,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_009,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_017,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_020,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_043,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_045,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_047,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_055,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9805_058,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_201,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_204,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_208,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_210,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_212,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_223,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_232,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_235,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_248,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_249,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_263,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_265,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9806_270,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_009,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_013,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_027,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_030,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_033,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_039,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9903_041,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_007,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_014,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_018,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_021,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_022,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_023,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_024,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_025,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_026,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_027,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_035,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_037,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_043,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_052,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_072,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_075,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_079,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_081,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_082,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_083,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9904_094,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_012,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_014,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_015,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_025,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_031,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_040,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_051,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_052,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_059,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_061,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_063,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_072,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_085,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_087,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_088,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_098,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9905_109,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_004,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_008,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_015,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_022,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_032,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_035,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_044,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_046,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_049,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_058,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_079,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_080,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
